revenue,total_customers,amt_flour,amt_tomatoes,amt_cheese
11105.909104300781,643.5952316061951,43.63260415968029,197.89082893581522,150.89704428759282
12421.75947242696,629.0803403084271,37.39387218119552,203.03981704344685,147.24352491159712
12834.080292066354,666.5485497702924,43.4306294298155,215.26704969337666,140.5380014792422
13011.948282948173,677.5175707146415,45.40979107738401,214.29298413694988,144.84110033016304
9361.797385514397,626.2845345909757,35.55224016299078,201.71421962571014,139.5474985491101
11800.148050459371,667.269305527742,40.68008745305138,208.46014190448392,146.26880851875987
13083.407131523945,630.7159611237211,37.8456311113131,213.59826101194346,149.51139521626462
14197.48811994688,667.5493681573915,46.15740691697169,239.10392443713715,156.10248148981952
10670.785723420206,633.1657192101142,43.66861305486696,206.13522306809946,143.69648523634612
13295.672684606516,672.0719814535954,48.155822228213644,205.49342897880226,145.94447183077943
11416.554679714092,649.6589548384112,41.18236175810907,213.38563534462273,155.79034745039178
10323.534348021958,646.1212788364618,38.16059647947635,206.74936928609836,151.90304299062703
12862.444038128013,660.9982643321698,40.5949888776235,226.1126070608983,153.09398713335776
9558.790023209818,626.7095957340407,38.48481202160455,190.3807216485443,142.36773191461177
11349.755033052024,617.7309752451787,52.187810140722945,202.86538277544054,147.4874857992015
10520.577609002985,632.8022980905043,46.41307526107529,206.69698623008244,144.19702892093264
12395.527849903441,649.6265502163612,40.230619892192024,198.2584591935759,142.10012250514504
12903.340751482992,644.6299718452283,39.45081163127856,210.12991264426432,149.49463852707572
11825.408761426292,631.498921340734,43.244575126273396,215.04211698922825,149.63225426686054
14634.38921747384,672.8009247316083,46.41469483575011,217.67884016166144,152.8878320972418
14547.581352677842,683.1430378683883,45.71826445644015,225.43475703143733,152.5416287194913
11273.052107165,611.458343866727,40.400654917017484,202.26634331373236,148.1079197277562
15453.778850505694,686.4832009464702,54.49835306280641,218.91981991692847,163.2039498938056
11457.163689287192,643.817273689744,44.41606628613512,216.69278272264927,158.4242973111536
10576.035208724179,651.5437863034787,31.456610441574618,195.0128772169158,140.15793600385174
8056.980822407355,624.7126535858904,38.9034160466387,200.79919334949355,144.86145988814067
14791.165289698267,676.8932158716738,53.09203017601521,230.1781787568931,157.54123133566043
9209.962344613477,633.5199939273165,44.19423686574392,201.6058517773965,146.56002383109504
11590.747437992715,622.6138672617999,44.10852647453763,221.0992867598571,155.25415556684013
10592.447850948807,654.4913574300805,43.66111226789115,217.52996152086035,154.8935256900285
11549.14982973583,638.9370323134922,42.354613014712356,213.59972015251577,152.7730402033924
13286.188173690653,633.0709434802172,37.220840054390635,210.09530202345937,147.4245002337757
13754.61370841599,656.430575056588,36.92668692369319,206.4784551933072,148.3284789092225
11257.210765719226,630.500873933647,37.666824314021255,188.63513179373473,139.65748772379203
13600.976356464367,680.0810738694114,45.2636068588263,217.68621540841065,155.01567319736782
10511.129494117158,635.7609426634053,27.235460518798455,190.78724479947795,148.1495130819194
10873.60447776275,651.3760662473318,44.862078188875486,215.8771259271147,153.05689927579013
10714.8817503986,628.6793128668228,42.23545781785749,206.44675707194338,141.6313749636817
12803.891727652375,644.4430029823244,38.7909579833367,212.18125278031306,146.59737633149055
11306.274449411509,657.4777153327905,44.48678073849754,207.042555372755,146.2608624807318
11356.118437126566,635.0457873908045,45.006614414488524,194.71990550246494,145.4213428084314
13688.19927054707,659.7010714669497,33.06081102646673,210.0693352382103,161.4876848535829
10972.633370038113,621.4678478035127,40.164477673889834,194.20551989891925,146.09756616346348
10633.709636085681,648.2950894211124,39.122135401624796,208.7254559096029,147.41659743792172
